State,District ,Crop,Crop_Year,Season,Area ,Production,Yield
Bihar,BEGUSARAI,Sannhamp,2009,Kharif     ,25.0,20.0,0.8
Uttar Pradesh,HARDOI,Rapeseed &Mustard,2008,Rabi       ,12840.0,12290.0,0.96
Himachal Pradesh,SIRMAUR,Small millets,2008,Kharif     ,114.0,84.0,0.74
Jammu and Kashmir,ANANTNAG,Peas & beans (Pulses),2017,Rabi       ,24.0,17.0,0.69
Madhya Pradesh,BHOPAL,Coriander,2013,Whole Year ,1470.0,1171.0,0.8
Chhattisgarh,RAIGARH,Niger seed,2005,Kharif     ,1300.0,194.0,0.15
Madhya Pradesh,BHOPAL,Rapeseed &Mustard,1997,Rabi       ,200.0,100.0,0.5
Haryana,AMBALA,Onion,2013,Whole Year ,2340.0,54196.0,23.16
Meghalaya,EAST KHASI HILLS,Rice,2000,Rabi       ,13.0,14.0,1.08
Manipur,THOUBAL,Sugarcane,2016,Whole Year ,1450.0,87270.0,60.19
Himachal Pradesh,BILASPUR,Potato,2019,Rabi       ,18.0,145.0,8.06
Tamil Nadu,THIRUVARUR,Banana,2016,Whole Year ,418.0,13924.0,33.31
Madhya Pradesh,DINDORI,Linseed,2015,Rabi       ,6000.0,3000.0,0.5
Odisha,NABARANGPUR,Maize,2000,Kharif     ,18391.0,33232.0,1.81
Madhya Pradesh,GUNA,Ginger,2010,Whole Year ,29.0,29.0,1.0
Nagaland,ZUNHEBOTO,Moong(Green Gram),2001,Kharif     ,300.0,220.0,0.73
Uttar Pradesh,RAE BARELI,Onion,2018,Rabi       ,206.0,3162.0,15.35
Bihar,PURNIA,Sesamum,2013,Kharif     ,1.0,1.0,1.0
Arunachal Pradesh,LOWER DIBANG VALLEY,Wheat,2012,Rabi       ,280.0,420.0,1.5
Karnataka,UTTARA KANNADA,Cowpea(Lobia),2011,Rabi       ,219.0,77.0,0.35
Uttarakhand,PITHORAGARH,Masoor,2007,Rabi       ,3514.0,1370.0,0.39
Uttar Pradesh,KANPUR DEHAT,Moong(Green Gram),2019,Summer     ,666.0,553.0,0.83
Rajasthan,JALORE,Maize,2007,Kharif     ,113.0,210.0,1.86
Uttar Pradesh,GHAZIPUR,Onion,2014,Rabi       ,603.0,9225.0,15.3
Madhya Pradesh,PANNA,Rapeseed &Mustard,2013,Rabi       ,4268.0,2320.0,0.54
Chhattisgarh,DANTEWADA,Jowar,2007,Kharif     ,471.0,511.0,1.08
Karnataka,VIJAYAPURA,Maize,2004,Kharif     ,13607.0,38971.0,2.86
Uttarakhand,HARIDWAR,Bajra,2013,Kharif     ,1.0,1.0,1.0
Andhra Pradesh,WEST GODAVARI,Groundnut,2012,Kharif     ,1000.0,2000.0,2.0
Madhya Pradesh,KHANDWA,Bajra,2005,Kharif     ,397.0,220.0,0.55
Nagaland,ZUNHEBOTO,Arhar/Tur,2001,Kharif     ,870.0,690.0,0.79
Jammu and Kashmir,RAJAURI,Peas & beans (Pulses),2015,Kharif     ,53.0,25.0,0.46
Karnataka,KOPPAL,Sunflower,2017,Kharif     ,11627.0,11708.0,1.01
Bihar,AURANGABAD,Arhar/Tur,2016,Kharif     ,459.0,673.0,1.47
Andhra Pradesh,KURNOOL,Rice,2016,Rabi       ,29451.0,112817.0,3.83
Assam,KOKRAJHAR,Peas & beans (Pulses),2012,Rabi       ,705.0,419.0,0.59
Karnataka,RAICHUR,Onion,2018,Kharif     ,2374.0,21272.0,8.96
Maharashtra,DHULE,Jowar,2000,Kharif     ,36900.0,19300.0,0.52
Gujarat,VALSAD,Other Kharif pulses,2010,Kharif     ,1100.0,600.0,0.55
Karnataka,VIJAYAPURA,Other  Rabi pulses,2015,Rabi       ,1.0,1.0,1.0
Jharkhand,GODDA,Potato,2011,Rabi       ,586.0,3150.0,5.38
Uttar Pradesh,AMBEDKAR NAGAR,Groundnut,1997,Kharif     ,41.0,33.0,0.8
Madhya Pradesh,BHIND,Potato,2016,Whole Year ,1540.0,33880.0,22.0
Karnataka,TUMAKURU,Tobacco,2010,Whole Year ,4.0,4.0,1.0
Bihar,ARWAL,Arhar/Tur,2004,Kharif     ,24.0,24.0,1.0
Karnataka,BAGALKOTE,Onion,2013,Rabi       ,972.0,9730.0,10.01
Madhya Pradesh,NARSINGHPUR,Niger seed,2002,Kharif     ,306.0,127.0,0.42
Nagaland,TUENSANG,Potato,2007,Kharif     ,260.0,3960.0,15.23
Chhattisgarh,SURGUJA,Rapeseed &Mustard,2016,Rabi       ,5493.0,2547.0,0.46
Karnataka,RAICHUR,Sunflower,2006,Rabi       ,102957.0,30489.0,0.3
Bihar,SAMASTIPUR,Sunflower,2006,Rabi       ,39.0,50.0,1.28
Uttarakhand,CHAMOLI,Barley,2000,Rabi       ,1702.0,1771.0,1.04
Uttar Pradesh,RAE BARELI,Sweet potato,2018,Kharif     ,175.0,2010.0,11.49
Bihar,BHAGALPUR,Urad,2012,Kharif     ,2006.0,1714.0,0.85
Uttar Pradesh,GHAZIABAD,Sweet potato,2016,Kharif     ,7.0,78.0,11.14
Arunachal Pradesh,LOWER DIBANG VALLEY,Peas & beans (Pulses),2017,Rabi       ,331.0,427.0,1.29
Kerala,ERNAKULAM,Arecanut,2006,Whole Year ,4908.0,5020.0,1.02
Karnataka,RAICHUR,Dry chillies,2014,Rabi       ,76.0,143.0,1.88
Madhya Pradesh,SAGAR,Onion,2005,Whole Year ,2729.0,39362.0,14.42
Bihar,KISHANGANJ,Wheat,2018,Rabi       ,17794.0,47250.0,2.66
Karnataka,MANDYA,Onion,2016,Kharif     ,172.0,1235.0,7.18
Karnataka,SHIVAMOGGA,Cashewnut,2019,Whole Year ,1347.0,1638.0,1.22
Uttar Pradesh,FIROZABAD,Cotton(lint),2012,Kharif     ,14.0,3.0,0.21
Uttar Pradesh,MEERUT,Bajra,2008,Kharif     ,16.0,29.0,1.81
Rajasthan,CHURU,Onion,2007,Whole Year ,99.0,99.0,1.0
Haryana,MAHENDRAGARH,Peas & beans (Pulses),2016,Rabi       ,1000.0,1400.0,1.4
Andhra Pradesh,MAHBUBNAGAR,Maize,2007,Rabi       ,3000.0,17000.0,5.67
Uttar Pradesh,SHAHJAHANPUR,Rapeseed &Mustard,2009,Rabi       ,14506.0,12329.0,0.85
Uttar Pradesh,SULTANPUR,Rice,2001,Kharif     ,160521.0,358439.0,2.23
Meghalaya,EAST GARO HILLS,Gram,2001,Rabi       ,250.0,151.0,0.6
Rajasthan,ALWAR,Small millets,2001,Kharif     ,2.0,,0.0
Bihar,ROHTAS,Ragi,1997,Whole Year ,60.0,53.0,0.88
Chhattisgarh,KONDAGAON,Rice,2014,Kharif     ,100383.0,193520.0,1.93
Andhra Pradesh,SRIKAKULAM,Jowar,2014,Kharif     ,44.0,65.0,1.48
Andhra Pradesh,NALGONDA,Maize,2006,Kharif     ,2350.0,5501.0,2.34
Maharashtra,SINDHUDURG,Rapeseed &Mustard,2017,Rabi       ,10.0,10.0,1.0
Uttar Pradesh,FATEHPUR,Moong(Green Gram),2003,Kharif     ,815.0,462.0,0.57
Gujarat,GIR SOMNATH,Groundnut,2019,Summer     ,840.0,2344.0,2.79
Haryana,HISAR,Masoor,2009,Rabi       ,4.0,,0.0
Himachal Pradesh,KINNAUR,Ragi,2008,Kharif     ,21.0,21.0,1.0
Maharashtra,NANDED,Safflower,2010,Rabi       ,5600.0,3000.0,0.54
Madhya Pradesh,SHAJAPUR,Groundnut,2017,Kharif     ,640.0,860.0,1.34
Gujarat,AMRELI,Cotton(lint),2017,Kharif     ,374746.0,835007.0,2.23
Maharashtra,BEED,Castor seed,2018,Kharif     ,576.0,92.0,0.16
Tamil Nadu,PUDUKKOTTAI,Dry chillies,2003,Whole Year ,80.0,43.0,0.54
Gujarat,SURENDRANAGAR,Wheat,2017,Rabi       ,37792.0,115820.0,3.06
Tamil Nadu,NAMAKKAL,Ragi,2019,Rabi       ,35.0,141.0,4.03
Haryana,KURUKSHETRA,Rapeseed &Mustard,2005,Rabi       ,769.0,1100.0,1.43
Himachal Pradesh,SHIMLA,Urad,2000,Kharif     ,2419.0,629.0,0.26
Maharashtra,DHULE,Gram,2013,Rabi       ,42300.0,53260.0,1.26
Meghalaya,WEST KHASI HILLS,Tobacco,2001,Whole Year ,23.0,14.0,0.61
Madhya Pradesh,INDORE,Potato,2005,Whole Year ,13266.0,175748.0,13.25
Himachal Pradesh,MANDI,Wheat,2012,Rabi       ,64881.0,87043.0,1.34
Kerala,WAYANAD,Turmeric,2007,Whole Year ,270.0,561.0,2.08
Uttar Pradesh,MATHURA,Rapeseed &Mustard,2002,Rabi       ,44296.0,51899.0,1.17
Tamil Nadu,TIRUCHIRAPPALLI,Cotton(lint),2013,Rabi       ,190.0,594.0,3.13
Karnataka,BAGALKOTE,Maize,2002,Kharif     ,20026.0,60945.0,3.04
Tamil Nadu,VELLORE,Dry chillies,2002,Whole Year ,385.0,228.0,0.59
Bihar,KHAGARIA,Moong(Green Gram),2002,Summer     ,1350.0,674.0,0.5
Madhya Pradesh,DAMOH,Rice,2001,Kharif     ,55098.0,34422.0,0.62
Goa,SOUTH GOA,Black pepper,2019,Whole Year ,551.0,209.0,0.38
Uttar Pradesh,MAU,Coriander,2009,Rabi       ,13.0,7.0,0.54
Madhya Pradesh,DHAR,Small millets,2010,Kharif     ,51.0,23.0,0.45
Uttar Pradesh,BALRAMPUR,Garlic,2008,Rabi       ,29.0,171.0,5.9
Assam,DIMA HASAO,Arhar/Tur,1999,Kharif     ,221.0,159.0,0.72
Manipur,THOUBAL,Sugarcane,2010,Whole Year ,1370.0,79500.0,58.03
Rajasthan,RAJSAMAND,Moth,2008,Kharif     ,6.0,2.0,0.33
Bihar,DARBHANGA,Gram,2017,Rabi       ,45.0,52.0,1.16
Rajasthan,BHARATPUR,Moth,2014,Kharif     ,10.0,4.0,0.4
Nagaland,TUENSANG,Castor seed,2013,Kharif     ,20.0,10.0,0.5
Maharashtra,SATARA,Sesamum,1999,Rabi       ,100.0,0.0,0.0
Chhattisgarh,RAIGARH,Other  Rabi pulses,2018,Rabi       ,667.0,40.0,0.06
Assam,DARRANG,Black pepper,2014,Whole Year ,33.0,55.0,1.67
Kerala,KASARAGOD,Rice,2009,Winter     ,1814.0,3344.0,1.84
Maharashtra,BEED,Maize,2013,Kharif     ,5200.0,6900.0,1.33
Rajasthan,TONK,Garlic,2007,Whole Year ,53.0,50.0,0.94
Uttar Pradesh,PILIBHIT,Sugarcane,1999,Whole Year ,43328.0,2676630.0,61.78
Mizoram,SERCHHIP,Soyabean,2010,Kharif     ,221.0,398.0,1.8
Maharashtra,GONDIA,Rice,2018,Summer     ,23510.0,69800.0,2.97
Madhya Pradesh,HOSHANGABAD,Turmeric,2002,Whole Year ,24.0,12.0,0.5
Tamil Nadu,THE NILGIRIS,Ragi,2019,Kharif     ,1.0,2.0,2.0
Karnataka,BIDAR,Coconut ,2010,Whole Year ,20.0,191000.0,9550.0
Madhya Pradesh,INDORE,Masoor,2011,Rabi       ,310.0,87.0,0.28
Odisha,ANUGUL,Rice,2013,Winter     ,65000.0,134000.0,2.06
Madhya Pradesh,CHHINDWARA,Sesamum,2015,Whole Year ,2000.0,1000.0,0.5
Assam,DIBRUGARH,Rice,1999,Winter     ,77358.0,121536.0,1.57
Gujarat,AMRELI,Groundnut,2010,Kharif     ,217000.0,375400.0,1.73
Assam,LAKHIMPUR,Maize,2016,Kharif     ,220.0,129.0,0.59
Telangana,NALGONDA,Bajra,2018,Kharif     ,8.0,4.0,0.5
Nagaland,LONGLENG,Peas & beans (Pulses),2017,Kharif     ,150.0,200.0,1.33
Madhya Pradesh,BHOPAL,Jowar,2001,Kharif     ,1727.0,1746.0,1.01
Tamil Nadu,TUTICORIN,Sugarcane,2016,Whole Year ,163.0,14180.0,86.99
Odisha,ANUGUL,Urad,2009,Autumn     ,2715.0,445.0,0.16
Rajasthan,UDAIPUR,Linseed,2016,Rabi       ,27.0,21.0,0.78
Telangana,NAGARKURNOOL,Arhar/Tur,2016,Kharif     ,12813.0,6996.0,0.55
Gujarat,TAPI,Groundnut,2010,Summer     ,10100.0,15900.0,1.57
Odisha,SUNDARGARH,Urad,2004,Autumn     ,2782.0,640.0,0.23
Andhra Pradesh,KRISHNA,Maize,2009,Kharif     ,3552.0,16339.0,4.6
Bihar,SAMASTIPUR,Sugarcane,2005,Whole Year ,2719.0,78762.0,28.97
Uttarakhand,CHAMPAWAT,other oilseeds,2005,Rabi       ,2.0,1.0,0.5
Uttar Pradesh,KANPUR NAGAR,Urad,2017,Summer     ,423.0,339.0,0.8
Bihar,MUNGER,Rice,2015,Autumn     ,23.0,27.0,1.17
Rajasthan,KARAULI,Moong(Green Gram),2019,Kharif     ,55.0,31.0,0.56
Uttar Pradesh,KAUSHAMBI,Maize,2000,Kharif     ,42.0,89.0,2.12
Uttar Pradesh,SHAHJAHANPUR,Wheat,2012,Rabi       ,264247.0,959481.0,3.63
Uttarakhand,ALMORA,Barley,2009,Rabi       ,2964.0,2413.0,0.81
Arunachal Pradesh,LOHIT,Small millets,2015,Kharif     ,69.0,68.0,0.99
Uttar Pradesh,BIJNOR,Urad,2016,Summer     ,23.0,15.0,0.65
Uttarakhand,RUDRA PRAYAG,Soyabean,2009,Kharif     ,129.0,129.0,1.0
Bihar,GOPALGANJ,Small millets,2014,Kharif     ,35.0,28.0,0.8
Bihar,MADHEPURA,Rice,2000,Kharif     ,20343.0,27435.0,1.35
Assam,SIVASAGAR,Wheat,2003,Rabi       ,333.0,272.0,0.82
Madhya Pradesh,SEONI,Cowpea(Lobia),2009,Rabi       ,28.0,10.0,0.36
Chhattisgarh,DHAMTARI,Ragi,2011,Kharif     ,70.0,22.0,0.31
Maharashtra,AMRAVATI,Bajra,2012,Kharif     ,300.0,200.0,0.67
Maharashtra,THANE,Groundnut,1998,Kharif     ,200.0,200.0,1.0
Punjab,LUDHIANA,Sugarcane,2013,Whole Year ,2000.0,170000.0,85.0
Bihar,PURBI CHAMPARAN,Moong(Green Gram),2015,Summer     ,1099.0,495.0,0.45
Meghalaya,SOUTH GARO HILLS,Cotton(lint),1997,Kharif     ,321.0,299.0,0.93
Mizoram,AIZAWL,Cowpea(Lobia),2013,Rabi       ,51.0,29.0,0.57
Rajasthan,JAIPUR,Cotton(lint),2018,Kharif     ,502.0,1629.0,3.25
Uttar Pradesh,BALLIA,Barley,2015,Rabi       ,3747.0,9213.0,2.46
Rajasthan,DUNGARPUR,Sesamum,2019,Kharif     ,608.0,199.0,0.33
Odisha,GANJAM,Ragi,2011,Autumn     ,2816.0,2467.0,0.88
Assam,BARPETA,Potato,1999,Whole Year ,8920.0,122678.0,13.75
Chhattisgarh,RAIGARH,Coriander,2002,Whole Year ,75.0,15.0,0.2
Andhra Pradesh,KRISHNA,Urad,2006,Kharif     ,4599.0,1651.0,0.36
Andhra Pradesh,MEDAK,Onion,2007,Rabi       ,4000.0,98000.0,24.5
Odisha,MAYURBHANJ,Horse-gram,2010,Winter     ,1505.0,414.0,0.28
Himachal Pradesh,SOLAN,Onion,2019,Rabi       ,305.0,2184.0,7.16
Tamil Nadu,TIRUCHIRAPPALLI,Castor seed,2004,Kharif     ,598.0,197.0,0.33
Maharashtra,NAGPUR,Groundnut,2018,Kharif     ,2117.0,1078.0,0.51
Maharashtra,THANE,Small millets,2000,Kharif     ,12400.0,8800.0,0.71
Bihar,MADHUBANI,Ragi,2002,Kharif     ,3980.0,3204.0,0.81
Gujarat,SURAT,Groundnut,2018,Summer     ,107.0,231.0,2.16
Assam,GOALPARA,Rapeseed &Mustard,2004,Rabi       ,3500.0,1407.0,0.4
Rajasthan,SIROHI,Potato,2003,Whole Year ,136.0,408.0,3.0
Uttarakhand,RUDRA PRAYAG,Barley,2009,Rabi       ,1326.0,1758.0,1.33
Uttar Pradesh,ETAH,Turmeric,2000,Whole Year ,10.0,17.0,1.7
Bihar,BHAGALPUR,Potato,2018,Winter     ,3377.0,51330.0,15.2
Tamil Nadu,DINDIGUL,Moong(Green Gram),2016,Rabi       ,2248.0,103.0,0.05
West Bengal,JALPAIGURI,Coconut ,1998,Whole Year ,1135.0,15663000.0,13800.0
Chhattisgarh,SUKMA,Rapeseed &Mustard,2018,Rabi       ,190.0,89.0,0.47
Karnataka,MANDYA,Castor seed,2015,Kharif     ,397.0,209.0,0.53
Uttar Pradesh,BULANDSHAHR,Potato,2007,Rabi       ,9841.0,162898.0,16.55
Uttar Pradesh,MATHURA,Bajra,2004,Kharif     ,43620.0,59471.0,1.36
Bihar,ARWAL,Linseed,2013,Rabi       ,165.0,140.0,0.85
Odisha,KORAPUT,Moong(Green Gram),2007,Summer     ,50.0,12.0,0.24
Assam,HAILAKANDI,Castor seed,2019,Kharif     ,3.0,2.0,0.67
Tamil Nadu,ERODE,Small millets,2007,Kharif     ,11.0,11.0,1.0
Bihar,PURBI CHAMPARAN,Mesta,1999,Kharif     ,624.0,3463.0,5.55
Uttar Pradesh,MEERUT,Bajra,2009,Kharif     ,126.0,242.0,1.92
Gujarat,JUNAGADH,Rapeseed &Mustard,2011,Rabi       ,100.0,100.0,1.0
Odisha,JHARSUGUDA,Rice,2016,Autumn     ,19150.0,30020.0,1.57
Bihar,KHAGARIA,Linseed,2012,Rabi       ,39.0,34.0,0.87
Andhra Pradesh,RANGAREDDI,Sweet potato,2000,Whole Year ,54.0,730.0,13.52
Jharkhand,KHUNTI,Peas & beans (Pulses),2015,Rabi       ,626.0,479.0,0.77
Nagaland,MON,Sesamum,2006,Kharif     ,610.0,390.0,0.64
Uttar Pradesh,SANT KABEER NAGAR,Linseed,2013,Rabi       ,7.0,3.0,0.43
Uttar Pradesh,ETAH,Moong(Green Gram),2000,Rabi       ,13184.0,5735.0,0.43
Assam,CACHAR,Tobacco,2008,Whole Year ,7.0,5.0,0.71
Madhya Pradesh,SEHORE,Groundnut,2006,Kharif     ,459.0,424.0,0.92
Uttar Pradesh,FAIZABAD,Barley,2010,Rabi       ,287.0,643.0,2.24
Bihar,GAYA,Maize,1998,Rabi       ,56.0,167.0,2.98
Bihar,PURBI CHAMPARAN,Rice,2017,Autumn     ,99338.0,162766.0,1.64
Tamil Nadu,ARIYALUR,Bajra,2018,Rabi       ,15.0,29.0,1.93
Maharashtra,KOLHAPUR,Wheat,2013,Rabi       ,16600.0,41700.0,2.51
Uttar Pradesh,HATHRAS,Jowar,2019,Kharif     ,8.0,9.0,1.13
Madhya Pradesh,DHAR,Bajra,2013,Kharif     ,2845.0,3755.0,1.32
Nagaland,ZUNHEBOTO,Sesamum,2017,Kharif     ,150.0,90.0,0.6
Tamil Nadu,KANCHIPURAM,Moong(Green Gram),2018,Rabi       ,529.0,217.0,0.41
Rajasthan,PALI,Wheat,1998,Rabi       ,85111.0,125221.0,1.47
Uttar Pradesh,MATHURA,Moong(Green Gram),2014,Kharif     ,21.0,7.0,0.33
Arunachal Pradesh,PAPUM PARE,Small millets,2015,Kharif     ,995.0,1293.0,1.3
Uttar Pradesh,AURAIYA,Sugarcane,2015,Kharif     ,503.0,29092.0,57.84
Tamil Nadu,KANNIYAKUMARI,Cashewnut,2002,Whole Year ,1938.0,568.0,0.29
Mizoram,SAIHA,Sesamum,2017,Kharif     ,7.0,5.0,0.73
Uttar Pradesh,UNNAO,Masoor,2007,Rabi       ,1054.0,865.0,0.82
Jammu and Kashmir,DODA,Barley,2019,Rabi       ,1538.0,494.0,0.32
Gujarat,NARMADA,Moong(Green Gram),2004,Kharif     ,500.0,200.0,0.4
Rajasthan,BUNDI,Maize,2018,Kharif     ,23759.0,111752.0,4.7
Uttar Pradesh,PITHORAGARH,Barley,1998,Rabi       ,3746.0,3739.0,1.0
Meghalaya,WEST GARO HILLS,Arecanut,1999,Whole Year ,2424.0,3384.0,1.4
Madhya Pradesh,DATIA,Linseed,2009,Whole Year ,38.0,28.0,0.74
Odisha,PURI,Ragi,2002,Kharif     ,21.0,13.0,0.6
Maharashtra,RATNAGIRI,Urad,2007,Kharif     ,400.0,200.0,0.5
Uttar Pradesh,AMBEDKAR NAGAR,Bajra,2011,Kharif     ,193.0,367.0,1.9
Tamil Nadu,KARUR,Cotton(lint),2015,Kharif     ,123.0,229.0,1.86
Madhya Pradesh,DEWAS,Sugarcane,2019,Whole Year ,52.0,2130.0,40.96
THE DADRA AND NAGAR HAVELI,DADRA AND NAGAR HAVELI,Rice,2010,Kharif     ,10220.0,19653.0,1.92
Gujarat,VADODARA,Groundnut,1997,Summer     ,10300.0,17200.0,1.67
Madhya Pradesh,DAMOH,Urad,2014,Kharif     ,24000.0,10000.0,0.42
Rajasthan,ALWAR,Tapioca,1999,Whole Year ,14.0,56.0,4.0
Assam,KARBI ANGLONG,Arecanut,2003,Whole Year ,1226.0,1536.0,1.25
Karnataka,UTTARA KANNADA,Rice,2006,Kharif     ,77829.0,154515.0,1.99
Karnataka,TUMAKURU,Black pepper,2012,Whole Year ,1.0,3.0,3.0
Maharashtra,SANGLI,Sunflower,2019,Rabi       ,488.0,366.0,0.75
Kerala,PALAKKAD,Rice,2015,Winter     ,41037.0,122157.0,2.98
Madhya Pradesh,REWA,Banana,2013,Whole Year ,1.0,,0.0
Uttar Pradesh,KAUSHAMBI,Urad,2010,Summer     ,139.0,126.0,0.91
Chhattisgarh,KORBA,Niger seed,2012,Kharif     ,411.0,92.0,0.22
Karnataka,BAGALKOTE,Groundnut,1998,Kharif     ,16368.0,7734.0,0.47
Jharkhand,GODDA,Sugarcane,2013,Whole Year ,16.0,783.0,48.94
Rajasthan,BHARATPUR,Onion,2017,Whole Year ,21.0,167.0,7.95
Madhya Pradesh,BHIND,Arhar/Tur,1998,Kharif     ,10400.0,7500.0,0.72
Assam,KOKRAJHAR,Ginger,2017,Whole Year ,430.0,3337.0,7.76
Assam,BONGAIGAON,Black pepper,2014,Whole Year ,26.0,49.0,1.88
Odisha,KANDHAMAL,Rice,2001,Kharif     ,58000.0,89000.0,1.53
Bihar,BHOJPUR,Masoor,2002,Rabi       ,8261.0,8079.0,0.98
Uttar Pradesh,RAE BARELI,Maize,2011,Rabi       ,13.0,31.0,2.38
Madhya Pradesh,INDORE,Ginger,2004,Kharif     ,16.0,26.0,1.63
Rajasthan,GANGANAGAR,Bajra,1998,Kharif     ,1678.0,722.0,0.43
Bihar,KHAGARIA,Sweet potato,2000,Whole Year ,18.0,217.0,12.06
Uttar Pradesh,SULTANPUR,Maize,2016,Rabi       ,78.0,219.0,2.81
Andhra Pradesh,VISAKHAPATANAM,Horse-gram,2010,Kharif     ,89.0,43.0,0.48
Jharkhand,LATEHAR,Rice,2005,Autumn     ,4129.58,1957.0,0.47
Assam,NALBARI,Cotton(lint),2003,Kharif     ,18.0,8.0,0.44
Madhya Pradesh,SHIVPURI,Rice,2016,Kharif     ,14000.0,39330.0,2.81
Mizoram,LAWNGTLAI,Soyabean,2018,Kharif     ,90.0,133.0,1.48
Nagaland,DIMAPUR,Peas & beans (Pulses),2011,Rabi       ,670.0,620.0,0.93
Rajasthan,JODHPUR,Castor seed,2007,Kharif     ,14827.0,8889.0,0.6
Karnataka,DAKSHINA KANNADA,Black pepper,2004,Whole Year ,1986.0,4601.0,2.32
